,tweet
4369,Tour goes on sale with the album on Friday #ChangesTour
4370,They deserve all the help
4371,thank you for Coachella and helping remind me of what I love to do
4372,Appreciate you so much
4373,2 nights from now we will all be up counting down together #changes
4374,Not a fan page mom
4375,Me too
4376,Thank you
4377,So amazing to see people hearing #changes for the first time
4378,Really powerful talk with my guy #saturday #changes
4379,3 days til #Changes
4380,3 days #CHANGES
4381,Make your own #Changes cover
4382,Hope this one helps
4383,You guys shared with me so now I’m sharing with you #JustinBieberSeasons #episode5
4384,Have you seen the intentions music video yet
4385,#1 streaming artist in the world
4386,So grateful
4387,Thank you
4388,Check my Instagram
4389,Spent a lot of time watching all your videos and messages
4390,Love u all so much
4391,Thank you
4392,My HereNow deodorant collab w has arrived at in Canada now the %US
4393,too
4394,Go get it
4395,What you guys are putting out there is so powerful
4396,We are in this together
4397,I love you #ChangesforJustin I keep watching and reading them both on here and YouTube and I’m so grateful
4398,These are my Intentions
4399,intentions on SNL
4400,yummy on SNL
4401,Thank you
4402,Love my beliebers
4403,Amazing night
4404,Thank you
4405,Only 5 days until the album #CHANGES
4406,Make sure the watch the live tv debut of the great Mustachio tonight on
4407,I will be there to support him
4408,Real friends support friends
4409,Less than a week until my new album #changes #feb14
4410,How dare you threaten mustacio
4411,That’s one sexy truck driver
4412,New merch drop with presale access to tour
4413,10 million views already and counting
4414,Thank you
4415,Grateful to for the work they do to support women like Bahri Marcy and Angela and their families
4416,We’ve set up an INTENTIONS Fund to support the goals and dreams of the families they support
4417,You can donate here
4418,Thank you #INTENTIONS
4419,Fallon this morning
4420,mtv Times Square at 2
4421,nyc workin
4422,Been a while #changes
4423,NEW SINGLE
4424,NEW VIDEO #INTENTIONS with New album #CHANGES in One Week
4425,#INTENTIONS —gt
4426,30 minutes #Intentions
4427,Almost that time #INTENTIONS tonight
4428,2 hours #INTENTIONS
4429,3 hours #INTENTIONS
4430,5 hours
4431,6 hours to #INTENTIONS
4432,#INTENTIONS TONIGHT AT MIDNIGHT
4433,10 years later see you this Saturday #SNL
4434,Preorder Changes from my UK store for a chance to get tickets to an evening with me
4435,😂😂😂
4436,8 days
4437,#INTENTIONS SONG AND NEW VIDEO OUT THIS FRIDAY
4438,NEW SINGLE #IntentionsThisFriday with new video
4439,My new album #Changes out Feb 14 #9days
4440,Here’s the tracklisting
4441,Episode 4 is out now #JustinBieberSeasons
4442,Started as #kidrauhl and now this
4443,Thank you
4444,9 days
4445,Big announcement tomorrow
4446,Which song on the Changes tracklist are you
4447,10 days
4448,Shop merch for early access to #ChangesTour
4449,New episode out
4450,Episode 3 #JustinBieberSeasons
4451,Yummy remix
4452,Love this
4453,See you there
4454,Tomorrow #yummy remix
4455,Super Bowl today #yummy
4456,My new album drops this month #February
4457,Changes by Justin Bieber
4458,#ChangesTour #AmexPresale starts now Card Members get early access to tickets now thru 213 at 10PM
4459,Wait
4460,you weren’t driving the car
4461,How could you James
4462,I’m shocked
4463,How do you guys like EPISODE 2 #JustinBieberSeasons
4464,Might have to drop this #yummy remix next week
4465,True
4466,Ep 2
4467,The legend #JustinBieberSeasons
4468,True
4469,What do U guys think of episode 1 #JustinBieberSeasons
4470,Those pics are only there
4471,From the CALVIN KLEIN underwear campaign
4472,Love you
4473,Yep
4474,Pre save #changes
4475,Thanks
4476,Bringing Presented by #AmexPresale Thurs 130 10am thru Thurs 213 10pm
4477,Love you guys
4478,My new album #Changes out Feb 14
4479,Preorder and get the new track with my friend ‘Get Me’ now
4480,I love you
4481,Thank you for having me
4482,Premiering the doc in la in a few hours
4483,Gonna give away a couple tickets I held back there #JustinBieberSeasons
4484,Seasons now streaming on #Bieber2020
4485,Man what a day
4486,We are so blessed
4487,Get it together justin
4488,Yep
4489,Thank you
4490,Big day
4491,Tickle tickle lol
4492,And February 8
4493,January 27 January 28 January 29
4494,February 14th
4495,1 week
4496,10 years 👀
4497,Lol
4498,Thanks Chris
4499,Thanks Demi
4500,You will get it #2020
4501,You are
4502,Send me the best tik toks or #yummy
4503,Use hashtag #yougotthatyummy so I can search them
4504,Thanks
4505,Me too
4506,Thank you
4507,Thanks everyone
4508,So thankful #yummy You had to go and make a banger smh
4509,Haha ur the man
4510,Love the song
4511,congrats on your first #1
4512,Everyone go stream #thebox
4513,Thank you guys so much
4514,Couldn’t have done any of it without you
4515,Thanks
4516,Couldn’t of done it without you guys
4517,2 weeks
4518,Got something special coming
4519,Thanks
4520,Love Ed
4521,Yummy on triller
4522,Thanks and friends #Yummy
4523,Yummy the game
4524,A lot of u are telling me u want some drew x yummy collab
4525,One sec #yummy
4526,Drew House animated yummy video
4527,Thanks guys
4528,Food fight
4529,Addressed this on my Instagram
4530,Thank you
4531,Yummy animated
4532,#Yummy streaming party now
4533,Love u guys #Yummy
4534,Yummy streaming party 4pm EST
4535,Buy #yummy on iTunes Yummy Single by Justin Bieber
4536,Because they are amazing
4537,Yummy Single by Justin Bieber
4538,Yummy Single by Justin Bieber
4539,Write that tweet
4540,Loving the reactions to #yummy
4541,Thanks to all of u
4542,I see you
4543,Taste
4544,Thanks
4545,—gt
4546,Yummy vertical video
4547,YUMMY OFFICIAL MUSIC VIDEO OUT NOW
4548,2 min #yummy official music video
4549,Yummy x Drew House
4550,15 minutes
4551,Tomorrow
4552,Tomorrow #yummy music video
4553,#Yummy official video tomorrow noon est
4554,Thanks twitter for the hashtags #BIEBER2020 #JBYummy
4555,60 seconds
4556,2 minutes #yummy
4557,3 min #yummy
4558,4 min #yummy
4559,Looking forward to all the reactions and I got tik tok now #yummy #5minutes
4560,1 hour
4561,Worldwide #yummy
4562,2 hours #yummy
4563,Less than 3 hours to go #yummy
4564,Not pop
4565,rampbieber
4566,Tik tok
4567,Seasons #2020 #Bieber2020
4568,Today
4569,Noon #2020
4570,Tomorrow
4571,Friday #yummy
4572,Yep
4573,December 31 noon
4574,January 3
4575,January 4 noon
4576,Noon EST
4577,December 31
4578,December 31
4579,January 3
4580,One week to #yummy
4581,Merry Christmas
4582,Following your followers for Christmas
4583,While we wait
4584,It’s Christmas Eve
4585,30 min
4586,While we wait
4587,While we wait
4588,While we wait
4589,1 hour #Bieber2020
4590,1 hour
4591,Noon
4592,December 24 December 31 January 3
4593,December 24 December 31 January 3
4594,December 24 December 31 January 3
4595,How many days away is #2020
4596,I’m asking for a reason
4597,Listen through the list and tell me your favorites #2020
4598,Name me your Top 5 with links
4599,2020
4600,Thanks
4601,Art auction
4602,Proceeds to families in need
4603,Love The Biebers
4604,Have a great week
4605,Drop the album already
4606,Happy thanksgiving
4607,wedding version out now #10000Hours remix
4608,Took a road trip
4609,Thanks
4610,Love that album
4611,Thanks
4612,More coming
4613,Looking good boys
4614,People really love this song
4615,I like this song
4616,Just because
4617,Honored to work with these guys
4618,Hope you are loving the song #10000Hours
4619,Yeah
4620,it’s real
4621,Finished something very special in the studio tonight
4622,When you close your eyes
4623,do you think of me
4624,Video is out
4625,What is your favorite shot
4626,I’m in the chat
4627,New video in 30
4628,I’m In the chat
4629,Who wants the music video #10kHours
4630,Congrats boys
4631,Thanks
4632,I’m trying to see some reaction videos too
4633,I love those
4634,Tomorrow 😁
4635,Did ya get your middle name from your grandma
4636,#10000hours and me
4637,1 hour
4638,New music
4639,Wedding music and this guy
4640,FRIDAY
4641,Go again
4642,That’s a lot of retweets
4643,Retweet this tweet to see this tweet on your twitter when you tweet
4644,You like me
4645,Love yah Ed
4646,try my here now collab with before it hits stores
4647,love you man
4648,Today is a good day
4649,Happy bday #JUNGKOOK
4650,They ain’t ready now watch this tweet go crazy
4651,we are loving this
4652,Late night studio
4653,Drew House
4654,I feel like we have a special connection
4655,Time with my favorite person
4656,Love this life
4657,congratulations
4658,Long day
4659,Gonna relax and watch a movie
4660,For all my fans in China I just wanted to say that I am super excited to be on Weibo
4661,Look forward to sharing more
4662,Some good music coming
4663,I want my friend out
4664,I appreciate you trying to help him
4665,But while your at it can you also let those kids out of cages
4666,Swedish Officials #JusticeForRocky Demand that Rocky Be Released from Swedish Officials via
4667,We need the original banana flavor please
4668,Proud of Billie
4669,Remix out now
4670,So proud of you Remix
4671,Remix
4672,Damn Tom this didn’t go as planned
4673,I wanna challenge Tom Cruise to fight in the octagon
4674,Tom if you dont take this fight your scared and you will never live it down
4675,Who is willing to put on the fight
4676,Stream
4677,More music coming
4678,Happy Sunday
4679,Thoughts
4680,Summer vibes
4681,Making new music
4682,Now
4683,9 years
4684,Love you
4685,Talking with and we just realized we can’t find double stick popsicles
4686,This is crazy we need those back
4687,Loving watching these reaction videos and covers for #idontcare
4688,Thank you
4689,I don’t care Video
4690,When I wake up the video will be out
4691,Me and Ed have a video tomorrow and I don’t care
4692,I’m ready for this too
4693,I’m ready
4694,Video this week
4695,New video is happening I don’t care
4696,Broke the record with this song
4697,Thank you
4698,It’s out
4699,I don’t care
4700,5 minutes
4701,I don’t care
4702,Been a long time since I’ve done a countdown to new music 20 minutes to go #IDC
4703,1 hour to go #idc
4704,Less than 3 hours
4705,Less than 6 hours until we combine #idc
4706,Less than 24 hours until new music
4707,I don’t care
4708,Less than 48 hours
4709,Friday
4710,Also true
4711,Yep true
4712,Friyay
4713,Check my Instagram story
4714,It’s happening #friday
4715,big fan
4716,Keeping it positive
4717,Today is a good day
4718,When are we gonna be the kind of people that find joy in adding value to one another and not tearing each other apart
4719,And rather than try and make people feel accepted and loved you find things to pick apart like the world isn’t full of that already
4720,we can find something negative to say about anything or anyone
4721,And rather than being positive you belittle people
4722,Think about how awesome it felt for me to be on that stage after being away for so long the excitement and joy it gave me doing the thing i love the most i sang to to backtrack like most cameos do this is a normal thing
4723,imagine if you spent even half the time you spend laughing at other peoples expense actually building people up and encouraging people how much positivity you could bring
4724,What hurts about this is the fact that you have a platform to make a difference
4725,just saw a video of you ripping me to shreds saying I was lipsyncing
4726,They played the song and i just sang overtop of it
4727,regardless why spend your time tearing people down
4728,It’s People like you that are bullies at school that are making kids suicidal
4729,Thank you
4730,Thank you That felt right
4731,Love you
4732,Let’s save the earth
4733,Tomorrow night song and video 🌎
4734,Friday
4735,Let’s save the world
4736,Amazing show
4737,Super proud of you
4738,Had a moment mid show
4739,Proud of you
4740,Hong Kong
4741,Thank you #25
4742,Love this
4743,Happy new year
4744,I have nothing against you it was the car and the colors I didn’t like I really hope you didn’t think it was malicious or mean spirited
4745,Have an amazing Christmas
4746,Wait a minute that’s my gurl
4747,My friend has a new comedy special on Netflix
4748,Go check it out
4749,Congrats Ellen
4750,All love over here Aaron
4751,You got my support
4752,Aaron carter i had your album when I was little
4753,And bumped the song Aaron’s party
4754,I was like 7
4755,if you need a hype man I got you
4756,xkarla will donate a portion of proceeds to the Humane Society to help animals hurt and displaced in the fires
4757,3 years ago today released #Purpose
4758,Thank you
4759,Thank you next is a bop
4760,My favorite song
4761,Least this song is smash
4762,Fire
4763,Congrats on the new song
4764,I have listened to this album 10 times in a row
4765,Incredible
4766,Praying for Pittsburgh
4767,Wishing everyone an amazing day
4768,Wow 3 years
4769,Thanks
4770,Living in the US I see how this country affects not only people here but all around the world
4771,There are so many things people need help with that I hope all of you who can get out and Vote and make your voices heard
4772,I would if I could
4773,👨🏻👨🏻
4774,The end is FIRES
4775,What’s not to love
4776,Meet the newest Bieber my baby sister Bay Bieber
4777,Make sure you guys go see #CrazyRichAsians this weekend
4778,So good
4779,Congrats
4780,Just Skate
4781,NO BRAINER out now
4782,Thank you 💍
4783,We will never let go of hope #OneLoveManchester
4784,Praying for Santa Fe
4785,New game
4786,don’t fall
4787,Proud of my brother on his new album
4788,Supporting my buddy Adam
4789,Congrats
4790,Grateful for great friends
4791,Proud of these kids
4792,This is great
4793,Cameron good talking to you last night
4794,All of your bravery is amazing
4795,I stand with you guys #march24 #marchforourlives
4796,I told you it was me
4797,In paradise
4798,They are coming 🤣
4799,bts #magentaverbindet #streamon
4800,Everyone have an amazing week
4801,congrats on the wins
4802,congrats buddy
4803,just released a new commercial in Germany
4804,Let’s release it in the US for the holidays #Friends
4805,congrats
4806,STADIUM TOUR MERCH 2
4807,Praying for all those in pain
4808,Praying for Puerto Rico
4809,Praying for Las Vegas
4810,Everyone watch my boys tonight #DareToLive
4811,Amazing
4812,Thanks everyone
4813,Lets keep helping eachother
4814,Call me 1 800 2586000 #HandInHand
4815,See you tomorrow #HandInHand lets help
4816,8pm tomorrow
4817,Honored to be taking part in a great cause
4818,Praying for everyone down in Houston
4819,Proud of you bro
4820,#stadiummerch at september 7th
4821,#Friends lyric video
4822,#FRIENDS out now
4823,New song #Friends out now
4824,1 HOUR #Friends
4825,New music
4826,Thursday noon
4827,Can we still be friends
4828,Who has the merch from the #StadiumCollection
4829,Thank you to Europe for an incredible #PurposeTourStadiums
4830,London today #PurposeTourStadiums
4831,Supporting my brother Get #FANLUV
4832,Got something special for the Hyde Park show in london July 2nd #PurposeTourStadiums
4833,Thank u
4834,Congrats buddy
4835,New single #2U
4836,Out now #2U
4837,Out now
4838,10 minutes #2U
4839,30 minutes
4840,Friday #2U
4841,#2U Friday
4842,New music
4843,This Friday
4844,Me and #2U
4845,😘😘😘😘😘
4846,I also dont know enough about sports to Really have valid opinion but I do enjoy sports
4847,And enjoy any high level sports game
4848,Any team
4849,Leafs above all but other than that u give me ANY JERSEY THAT LOOKS COOL ILL THROW IT ON
4850,I support all sports Ill put ANY jersey from ANY pro team if Im whack for wearing jerseys they give me out of love then Im Whack
4851,Elsa Jasmine Sara Romee Stella Martha
4852,See you soon
4853,Nice
4854,See you Sunday
4855,UK in July
4856,South Africa is incredible #PurposeTourStadiums
4857,Thank you
4858,Dubai is incredible
4859,India you are next u ready #PurposeTourStadiums
4860,congrats my friend
4861,I see u
4862,Request #imtheone
4863,Israel was incredible
4864,Dubai your next #PurposeTourStadiums
4865,Israel is next #PurposeTourStadiums
4866,Always give back
4867,Happy #WorldWishDay
4868,Despacito #1 in the world
4869,Thank you
4870,Despacito Remix feat
4871,Justin Bieber Single by Luis Fonsi Daddy Yankee
4872,Remix
4873,S America next #PurposeTourStadiums
4874,I love New Zealand
4875,Congrats
4876,Its my birthday and all I want is to be a better friend better brother better son and better man
4877,Someone got me flowers and I was driving made a turn and the water spilled on my dick area
4878,Didnt bother me if it made ya laugh nice
4879,Mexico City #PurposeTour
4880,#PurposeTourMonterrey tonight
4881,India tickets go on sale Feb 22
4882,See u May 10th at DY Patil Stadium
4883,Happy Valentines Day #Justmoji
4884,My #SuperBowl commercial w Let’s go
4885,Let me see those #UnlimitedMoves
4886,Im playing today in the celebrity all star game
4887,Yep
4888,Today
4889,Working on something special
4890,My I love you face
4891,#10yearsofkidrauhl where it all began
4892,Thanks
4893,Watched never say never on Netflix
4894,Great movie
4895,Tour access
4896,Life is good
4897,RT to Send my boy Chris Paul to the NBA AllStar Game #NBAVote #retweettovote
4898,My sister has a YouTube channel
4899,Proud of you Jazzy
4900,Today
4901,you just got knocked the fuck out
4902,Great book #howsyoursoul by my friend
4903,Thank you
4904,Miami
4905,See you at for #NYE2017
4906,Merry Christmas everyone
4907,New holiday #Justmojis
4908,This is one of the funniest videos I have ever seen
4909,Haha 😂
4910,More 2017 #PurposeTour stadiums on sale now
4911,Dublin on sale too #PurposeTour
4912,Bringing #PurposeTour next summer to Cardiff and London
4913,Thank you
4914,That time of the year
4915,Mistletoe is currently the most streamed UMG song on Spotify
4916,Thanks
4917,North America 2017 #PurposeTour stadiums on sale now
4918,See u soon
4919,Good times boys
4920,2nd show added in Toronto
4921,Presale code LOVEYOU for #PurposeTour stadiums
4922,On sale tomorrow
4923,Love seeing my little guy raising money for the kids
4924,Congrats Cruz
4925,Nice one
4926,Congrats buddy
4927,Lets keep changing lives
4928,Thank you
4929,#AmexPresale for #PurposeTour stadiums up now thru 128 for Card Members
4930,#PurposeTour stadiums
4931,Lets go
4932,Tix on sale Friday
4933,Make sure to watch for major tour announcement
4934,Tomorrow
4935,Download FOREVER for free and help to #endAIDS with and #GamesForRED #BestFiends
4936,Get for free from and help to #endAIDS with and #GamesForRED #BestFiends
4937,LA tonight
4938,See u tonight #KIISJingleBall
4939,thank u my sweets 🤍🥺
4940,#MariahsMagicalChristmas coming to on december 4th no i’m not okay nor will i ever recover 🤍 love u forever
4941,3435 out now 🤍
4942,u kiiiiiilled this are u kidding
4943,love u love u love u
4944,3435 out now 🤍
4945,loading
4946,one hr
4947,5 hrs
4948,2 hrs
4949,love u
4950,5 hrs
4951,🤍🤍🤍
4952,thank u brilliant trio for having me 🤍 love u always
4953,brian
4954,☁️📠 3435 🔬🌫
4955,our twitter is 🌫
4956,we are so happy proud and excited 🐈🐕 our site comin soon 🔜 follow on instagram for more ☁️
4957,🤍 alt physical cover 🤍 positions 🤍🌫
4958,readin your responses crying lmao thank u and i love u
4959,after one week of positions what’s your favorite track
4960,🤍 hello thank u
4961,this is my favorite album yet and your response to the music has made my heart so incredibly full i can’t even begin to fully express how much it means
4962,so thank u
4963,so very much
4964,crying
4965,CRYING 🤍🤍🤍🤍🤍🤍🤍 THANK GOD
4966,love u both so much thank u queens
4967,thank you my UK baaabies
4968,i miss n love you all
4969,thank you so so much
4970,today’s the day
4971,find your nearest polling place at
4972,congratulations to this most incredible and deserving team #positions
4973,thank u so much everyone for showing this song so much love 🥺🤍 it is such an honor
4974,and if u have time after u vote yourself help reach out to other voters in Florida please
4975,it could make all the difference
4976,begging
4977,Florida the race is close and we only have two days left to vote for will you vote today #BidenForFL 🤍
4978,no i almost passed out
4979,thank youuuuuuuu my sweet i am too
4980,mama showed me
4981,we can’t stop crying smiling
4982,u are such an angel omg this video made me so so happy
4983,thank u for every minute of this
4984,i’m watching it every day
4985,cannot stop smiling r u kidding
4986,range hoe GIVE ME A GROOVE your face during my hair killed me
4987,😭 appreciate u so much
4988,🦇🦇🦇
4989,miss u
4990,this part
4991,please dress up take pics but then get in your pjs and watch some scary movies
4992,going to parties right now is unsafe and absolutely not worth it
4993,please be safe
4994,happy halloween everyone
4995,🤍 thank you #positions
4996,go to to reach out to voters in Florida this weekend and help make sure everyone votes for biden
4997,#positions thank you
4998,🤍🙏🏼🥺
4999,yes
5000,jk love u appreciate your excitement
5001,can u lemme give u ONE THING AT A TIME DAMN
5002,wait this is really a tweet from bagel bites that’s crazy
5003,🤍🥺🎉😭
5004,oh the best night of my life he brought us all the gift that is the gimme them babies line
5005,he just got very excited that someone asked
5006,he says all of them
5007,HAHAHAHAHAHAHAHA
5008,i love u so much more thank u for being in my life
5009,i didn’t want to put them up before i had already signed them just in case
5010,i don’t want to keep u waiting so i did as many as i could for now
5011,will try to put up more for u might just need a new arm
5012,mama step to the mic please
5013,floating processing thankful don’t have words yet but i love u v much
5014,i love u all v much
5015,hello
5016,🤍 positions the album is out now 🤍
5017,one
5018,three hours
5019,what’s ya motive
5020,i came to peace with my path 🤍 now u got me off track
5021,🤍🤍🤍
5022,down like sunsets down like my head on your chest
5023,tonight 🤍
5024,hellooo
5025,can it be tomorrow night already please
5026,love u so much i am so so grateful and excited
5027,can’t stop cryin
5028,hooooooooooo
5029,i’ve been so excited to show u these
5030,three slightly different versions of the physical albums are now available to preorder on my website
5031,photos by dave meyers creative by
5032,happy positions week 🤍
5033,positions behind the scenes out now by
5034,i would like to tell u as little as possible and for u to enjoy it and experience without being told what to feel or what i was feeling making it all 🖤 but i love u
5035,it was actually the first track
5036,shut up
5037,i promise this is me answering the question and not telling u to shut up
5038,looked good on my ear
5039,looked good on the rack
5040,i don’t have a top three or anything
5041,everything goes hand in hand
5042,this project is my favorite for many reasons and i really can’t wait for it to be yours
5043,thank u for your love and excitement it means the world to me
5044,positions on #newmusicdaily
5045,positions the single out now
5046,positions my 6th album out friday the 30th
5047,🤍🔃 💿
5048,🤍🤍🤍 always
5049,oh me too
5050,i’m so excited
5051,love u
5052,positions out now 🤍 directed by dave meyers
5053,positions out now 🤍
5054,three hours 🤍
5055,heaven sent u to me
5056,positions 📁🤍 single tomorrow night 〰️ 10
5057,23 presave now
5058,i can’t wait to give u my album this month
5059,turning in these mixes and reminding u again to register to vote if u haven’t already to vote early
5060,yikes #VoterSuppression please extend registrations
5061,fellow Floridians 🤍
5062,hello
5063,if last night’s debate didn’t light a fire under your ass i’m not quite sure what will
5064,please make sure u and everyone u love know is registered ready
5065,u can also vote early
5066,only 34 days til the election is over
5067,please tell a friend
5068,brb
5069,know my love infinite nothing that i won’t do
5070,love u more
5071,🖤🖤🖤
5072,ik i haven’t been on but i’ve been thinking of u all
5073,love u i hope u are as well please
5074,miss u more
5075,sending all the love i got
5076,to be continued 🤍 r
5077,fragrance available in stores now
5078,i love u both so much don’t start pls
5079,crying again u are the most gracious and stunning i’m so grateful to be a part of this thank you my babes again
5080,love u so much
5081,WOW I LOVE U congratulations
5082,thank u my babes who voted i love u we love u
5083,happy vma day
5084,rain on me 🌧 tonight
5085,yea
5086,what street
5087,yeeeee thank u
5088,no i mean i thought it was the swt stage when i saw it too
5089,i was like damn do i have a show nobody told me ab lemme get ready
5090,no been working
5091,i just saw it now 🕵🏼‍♀️
5092,FUCK IM SORRY THOSE TOO UR RIGHT DON’T YELL AT ME
5093,no other than that video i’ve been seeing on the tl isn’t our stage 🕵🏼‍♀️ and that u have not seen anything
5094,hello ily
5095,omg i’m sorry i missed it
5096,ummmm i think only one best mistake break your heart right back
5097,good
5098,grateful and excited and missing u all i hope you’re all well and safe and healthy
5099,love u more
5100,so excited
5101,loving n missing u all
5102,new fragrance r
5103,available now on 🤍 in stores 8
5104,rain on me with live from the #vmas august 30th on 🖤
5105,and no tears ok that’s 6
5106,spammed him with vns for sweetener bday
5107,i’m adding blazed n borderline to this sry for the late thought
5108,love u all so motherfuckin much ttys
5109,love u more
5110,i’m gonna go work on things for u yeeeee but be back soooooon
5111,me toooooo i’m stoked
5112,grateful
5113,gws rem my third spot is tightly tied between sweetener giaw 💛
5114,this makes me so happy
5115,love u so so much
5116,happy two years of my fav baby 🤍 such a special one love u so much
5117,love u more always
5118,REM fragrance 8
5119,19 on 🖤
5120,okay i love u and i miss u thank u
5121,everything’s fine
5122,holy shit i was doin somethin
5123,u all do this to me every single time shh 🥺
5124,soon
5125,yes but sm to look forward to
5126,missing your energy so v much tho
5127,how how how
5128,i wish we had a show tonight
5129,imy
5130,i love youuuuuuuu so much
5131,another way to support
5132,the app please share
5133,my heart strength and condolences are with Lebanon and everyone affected by this tragedy
5134,please support donate if you’re able to i will be doing so too
5135,happy august 🖤 vote
5136,see i gtg u all get me too damn excited okay
5137,bye i love u
5138,no 😎
5139,HAHAH
5140,same
5141,baby 🥺 same i love and miss u more and i hope you’re doing well and taking care of yourselves 🖤
5142,that is all for now
5143,but i love and miss u all very much and i can’t wait to share so much more with u
5144,yes
5145,🥺🥺🥺🤍
5146,everyday since we finalized the scent in march 🛸
5147,i don’t want to reveal too too much
5148,but it’s so cute and i can’t wait to show u soon
5149,we finalized everything during the beginning of quarantine i wanted to get this to u asap so not this time BUT i love the art and packaging so much
5150,we were able to get creative with it and have some fun while also keeping everyone safe
5151,kidding kidding
5152,literally nothing fuck it i’m getting my tattoos removed 😭
5153,🌫🔫☁️💭🛏🌫🪐🛸💤 this is the best i can do
5154,u know i wouldn’t utter the word if i didn’t mean it
5155,nothing is butterfly related 😭 i love u all so much i’m laughing
5156,seductive n sweet
5157,dreamy
5158,very different because we finalized everything during quarantine but i love this creative
5159,it’s something i’ve actually always wanted to do for u guys so it worked out perfectly
5160,different but i love them equally believe it or not ☁️
5161,since last year
5162,😭😭😭😭
5163,which one
5164,100 days out
5165,tell a friend
5166,i love u mooooooore
5167,same but more
5168,love u
5169,i liked this before u tweeted it
5170,miss u all way more
5171,love u love u love u
5172,happy july 🖤 vote
5173,another reminder 🖤 colorado you can still register to vote if you haven’t already
5174,outeverythinged the original
5175,🖤 truly the best most insane surprise ever
5176,love u so much
5177,please post in my head next
5178,thanks for the birthday wishes
5179,almost 27
5180,sent some food and coffee trucks for everyone waiting in line
5181,please pull up enjoy and use your voice today we need u 🖤
5182,reminder 🖤
5183,i love u
5184,🖤 🖤
5185,two years 🖤 love u 💡
5186,join us as we work to register voters across the nation 🖤
5187,sending u all so much love
5188,primaries today #vote
5189,los angeles #peoplesbudgetla #defundthepolice 🖤
5190,new yorkers
5191,please support the repeal of 50 A a new york law that blocks crucial information in the search for law enforcement accountability 🖤 #repeal50a
5192,and of course please continue to register yourselves and your friends and loved ones to vote
5193,here’s a growing list of blackowned brands to support and purchase from 🤍
5194,the is a nonprofit news organization covering police accountability and exposing failures examining solutions for the justice system
5195,the fund is a blackrun bail fund assisting members of the community who have been arrested during the peaceful protests
5196,black voters matter fund is expanding black voter engagement increasing progressive power
5197,#8cantwait is a list of 8 policies to help reduce police violence that can be changed immediately to make our communities safer link to prewritten emails addressed to your respective cities
5198,the is offering free virtual therapy for black americans who need help right now
5199,we demand #justiceforbreonna #sayhername
5200,#birthdayforbreonna #sayhername we are fighting for you 🤍 to demand justice for her and her family text ENOUGH to 55156 or visit
5201,today campaign zero launched #8cantwait a list of 8 policies to reduce police violence that can be changed immediately and save lives
5202,please check out your city to see what can be done locally
5203,progress was made but let’s not get distracted
5204,there is still so much to learn and do
5205,please make sure you are registered to vote and ready for your state’s elections
5206,also note that voting from home is an option too thanks to 🖤
5207,today
5208,as u fill out your ballot please research make informed choices
5209,pay attention to how the candidates running have responded in this moment
5210,let’s do everything we can big or small to make the changes necessary to fix the system
5211,pls stay safe
5212,speechless
5213,nine states have primary elections on june 2nd
5214,if u live in one of these states please take things one step further by voting out the corrupt officials not just the president that are encouraging systematic racism and discrimination
5215,thank you for continuing to be such an incredible leader to us
5216,more so than anyone else
5217,this is why it is of utmost importance to register to vote and get educated on ready for the primaries in your state
5218,please register today if u haven’t already
5219,stay active stay energized keep sharing keep learning 🖤 sending strength and if you are protesting today please be safe and have shared more ways to help
5220,hours and miles of peaceful protesting yesterday that got little to no coverage
5221,all throughout beverly hills and west hollywood we chanted people beeped and cheered along
5222,we were passionate we were loud we were loving
5223,cover this too please
5224,nine states have a primary on tuesday
5225,the items on these ballots impact our day to day lives
5226,we’re voting for more than the president
5227,use ur voice and check out for resources
5228,a lot of things feel scary dangerous and uncertain right now
5229,but there are things within our control voting contacting lawmakers and taking the census
5230,the most important thing you can do right now to take the power back is become a voter and know when your next election
5231,please keep signing these petitions making donations having conversations w family and friends about it reading and sharing links and resources
5232,gentle reminder that this doesn’t end today or tomorrow or after you post about it once #blacklivesmatter
5233,outtakes in case u ever question my love for u please refer back to this
5234,i’ll do anything to earn my umbrella back pls
5235,#justiceforGeorgeFloyd text FLOYD to 55156 to put pressure on DA Mike Freeman to charge and arrest these officers call 6123485550 and please sign the petition
5236,omg
5237,so excited
5238,love u more mama
5239,i love himmmmmmmmm 🥰
5240,mood
5241,i think so
5242,or just alone
5243,parched #rainonme 🌧
5244,we love u UK thank u
5245,also rain on me makes me so mf happy thank u
5246,and just wanted to say thank u for everything u make this life so fun i can’t wait to perform for u again and see u and make new memories okay bye
5247,hello i miss and love u all so much
5248,rain on me 🤍@ladygaga
5249,#rainonme music video out now on vevo 🌧
5250,1 hour 🌧 #rainonme music video
5251,MY ANGEL
5252,she then held my hand and invited me into the beautiful world of chromatica and together we got to express how beautiful and healing it feels to mothafuckinnnn cry
5253,🌧 i hope this makes u all feel as uplifted as it does for us both
5254,i love u u stunning superwoman
5255,one time
5256,i met a woman who knew pain the same way i did
5257,who cried as much as i did drank as much wine as i did ate as much pasta as i did and who’s heart was bigger than her whole body
5258,she immediately felt like a sister to me
5259,rain on me 🌧 out now 🖤 music video tomorrow at ten am pst one pm est 🧚🏼‍♂️
5260,really emotional day okay wish i could hug u rn #onehour #rainonme
5261,this isn’t real but fuck me i love it so much
5262,i love u u incredible unstoppable woman 🤍one hour #rainonme
5263,three hrs #rainonme 🤍
5264,four
5265,always
